,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
1137,Elijah Bryant,1,32,0.462,0.2,0.625,1.0,6.0,3.0,0.0,1.0,4.0,2.0
1138,Thomas Bryant,10,271,0.648,0.429,0.714,0.667,61.0,15.0,4.0,8.0,11.0,2.0
1139,Reggie Bullock,65,1949,0.442,0.41,0.521,0.909,223.0,99.0,52.0,11.0,45.0,2.0
1140,Trey Burke,62,911,0.428,0.354,0.492,0.895,54.0,81.0,36.0,7.0,33.0,2.0
1141,Alec Burks,49,1255,0.42,0.415,0.425,0.856,227.0,107.0,31.0,14.0,49.0,2.0
1142,Jimmy Butler,52,1745,0.497,0.245,0.538,0.863,359.0,369.0,108.0,18.0,109.0,2.0
1143,Bruno Caboclo,6,36,0.471,0.0,0.667,0.5,14.0,1.0,0.0,2.0,4.0,2.0
1144,Devontae Cacok,20,98,0.586,0.0,0.586,0.455,32.0,1.0,5.0,4.0,5.0,2.0
1145,Kentavious Caldwell-Pope,67,1902,0.431,0.41,0.46,0.866,179.0,127.0,62.0,26.0,66.0,2.0
1146,Facundo Campazzo,65,1425,0.381,0.352,0.444,0.879,134.0,232.0,79.0,14.0,73.0,2.0
1147,Vlatko Čančar,41,281,0.458,0.273,0.615,0.769,50.0,14.0,11.0,2.0,14.0,2.0
1148,Devin Cannady,8,74,0.393,0.375,0.417,0.857,5.0,1.0,5.0,1.0,2.0,2.0
1149,Clint Capela,63,1898,0.594,0.0,0.594,0.573,903.0,49.0,44.0,129.0,73.0,2.0
1150,Vernon Carey Jr.,19,115,0.5,0.143,0.586,0.818,27.0,2.0,1.0,5.0,5.0,2.0
1151,Jevon Carter,60,717,0.422,0.371,0.528,0.571,92.0,71.0,29.0,9.0,16.0,2.0
1152,Wendell Carter Jr.,54,1375,0.503,0.294,0.53,0.732,443.0,104.0,35.0,42.0,78.0,2.0
1153,Michael Carter-Williams,31,800,0.389,0.246,0.431,0.613,139.0,129.0,25.0,17.0,69.0,2.0
1154,Alex Caruso,58,1216,0.436,0.401,0.464,0.645,170.0,160.0,64.0,15.0,76.0,2.0
1155,Willie Cauley-Stein,53,906,0.632,0.091,0.667,0.628,236.0,35.0,21.0,43.0,29.0,2.0
1156,Chris Chiozza,22,232,0.352,0.31,0.391,0.765,24.0,65.0,7.0,6.0,16.0,2.0
1157,Marquese Chriss,2,27,0.357,0.2,0.444,0.5,13.0,2.0,0.0,2.0,2.0,2.0
1158,Gary Clark,39,654,0.303,0.287,0.375,0.8,115.0,31.0,13.0,7.0,17.0,2.0
1159,Brandon Clarke,59,1415,0.517,0.26,0.565,0.69,328.0,95.0,60.0,51.0,33.0,2.0
1160,Jordan Clarkson,68,1818,0.425,0.347,0.523,0.896,274.0,168.0,61.0,10.0,115.0,2.0
1161,Nicolas Claxton,32,594,0.621,0.2,0.636,0.484,166.0,28.0,23.0,40.0,18.0,2.0
1162,Amir Coffey,44,394,0.437,0.411,0.468,0.711,44.0,22.0,10.0,0.0,15.0,2.0
1163,John Collins,63,1848,0.556,0.399,0.615,0.833,467.0,78.0,34.0,63.0,84.0,2.0
1164,Mike Conley,51,1498,0.444,0.412,0.479,0.852,177.0,305.0,70.0,9.0,99.0,2.0
1165,Pat Connaughton,69,1575,0.434,0.371,0.583,0.775,332.0,81.0,49.0,23.0,33.0,2.0
1166,Quinn Cook,23,157,0.426,0.423,0.429,0.875,17.0,18.0,4.0,1.0,7.0,2.0
1167,Tyler Cook,32,438,0.67,0.5,0.673,0.486,95.0,17.0,8.0,2.0,21.0,2.0
