,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
1316,James Johnson,51,1043,0.446,0.258,0.556,0.592,177.0,98.0,42.0,42.0,55.0,2.0
1317,Keldon Johnson,69,1968,0.479,0.331,0.531,0.74,412.0,121.0,40.0,24.0,78.0,2.0
1318,Stanley Johnson,61,1006,0.382,0.328,0.458,0.8,153.0,89.0,52.0,18.0,54.0,2.0
1319,Tyler Johnson,39,684,0.393,0.364,0.471,0.857,77.0,47.0,14.0,0.0,17.0,2.0
1320,Nikola Jokić,72,2488,0.566,0.388,0.606,0.868,780.0,599.0,95.0,48.0,222.0,2.0
1321,Damian Jones,39,547,0.68,0.2,0.704,0.724,121.0,29.0,11.0,29.0,26.0,2.0
1322,Derrick Jones Jr.,58,1318,0.484,0.316,0.619,0.648,205.0,47.0,37.0,54.0,32.0,2.0
1323,Mason Jones,32,334,0.423,0.364,0.491,0.625,55.0,42.0,7.0,1.0,29.0,2.0
1324,Tre Jones,37,269,0.474,0.6,0.466,0.895,21.0,39.0,8.0,0.0,13.0,2.0
1325,Tyus Jones,70,1222,0.431,0.321,0.487,0.911,140.0,259.0,64.0,6.0,48.0,2.0
1326,DeAndre Jordan,57,1246,0.763,0.0,0.766,0.5,427.0,93.0,17.0,65.0,85.0,2.0
1327,Cory Joseph,63,1446,0.469,0.341,0.527,0.818,159.0,213.0,61.0,18.0,79.0,2.0
1328,Mfiondu Kabengele,39,280,0.371,0.26,0.513,0.8,60.0,17.0,8.0,13.0,15.0,2.0
1329,Frank Kaminsky,47,715,0.471,0.365,0.523,0.617,188.0,79.0,14.0,17.0,22.0,2.0
1330,Enes Kanter,72,1758,0.604,0.25,0.607,0.774,795.0,84.0,33.0,48.0,78.0,2.0
1331,Luke Kennard,63,1232,0.476,0.446,0.511,0.839,161.0,104.0,23.0,9.0,48.0,2.0
1332,Louis King,6,85,0.5,0.364,0.565,1.0,18.0,9.0,7.0,3.0,4.0,2.0
1333,Maxi Kleber,50,1341,0.422,0.41,0.46,0.919,260.0,68.0,24.0,35.0,30.0,2.0
1334,Nathan Knight,33,279,0.37,0.182,0.463,0.8,72.0,8.0,9.0,10.0,15.0,2.0
1335,Kevin Knox,42,464,0.392,0.393,0.389,0.8,61.0,19.0,12.0,6.0,17.0,2.0
1336,John Konchar,43,575,0.5,0.375,0.585,0.833,128.0,47.0,30.0,9.0,18.0,2.0
1337,Furkan Korkmaz,55,1062,0.401,0.375,0.445,0.732,113.0,82.0,49.0,9.0,46.0,2.0
1338,Luke Kornet,31,348,0.436,0.254,0.69,0.5,67.0,24.0,4.0,32.0,7.0,2.0
1339,Rodions Kurucs,21,125,0.344,0.286,0.455,0.75,23.0,10.0,9.0,4.0,13.0,2.0
1340,Kyle Kuzma,68,1954,0.443,0.361,0.525,0.691,417.0,127.0,35.0,41.0,113.0,2.0
1341,Anthony Lamb,24,415,0.39,0.324,0.489,0.857,70.0,23.0,6.0,5.0,19.0,2.0
1342,Jeremy Lamb,36,765,0.435,0.406,0.459,0.947,131.0,53.0,34.0,23.0,22.0,2.0
1343,Romeo Langford,18,283,0.356,0.278,0.39,0.75,35.0,13.0,6.0,5.0,10.0,2.0
1344,Zach LaVine,58,2034,0.507,0.419,0.571,0.849,289.0,282.0,46.0,27.0,203.0,2.0
1345,Jake Layman,45,627,0.495,0.295,0.642,0.703,67.0,28.0,29.0,19.0,26.0,2.0
1346,T.J. Leaf,7,35,0.5,0.0,0.5,1.0,5.0,1.0,2.0,1.0,2.0,2.0
1347,Jalen Lecque,4,12,0.111,0.0,0.125,1.0,5.0,2.0,0.0,0.0,0.0,2.0
1348,Damion Lee,57,1079,0.467,0.397,0.638,0.909,180.0,73.0,38.0,8.0,30.0,2.0
1349,Saben Lee,48,781,0.471,0.348,0.487,0.685,97.0,174.0,32.0,13.0,55.0,2.0
1350,Alex Len,64,979,0.615,0.32,0.644,0.629,260.0,49.0,20.0,64.0,55.0,2.0
1351,Kawhi Leonard,52,1773,0.512,0.398,0.557,0.885,337.0,269.0,81.0,21.0,105.0,2.0
1352,Meyers Leonard,3,29,0.429,0.429,0.0,0.5,7.0,2.0,0.0,0.0,2.0,2.0
1353,Caris LeVert,47,1486,0.441,0.326,0.495,0.811,214.0,245.0,66.0,30.0,102.0,2.0
1354,Kira Lewis Jr.,54,904,0.386,0.333,0.415,0.843,71.0,124.0,38.0,10.0,34.0,2.0
1355,Damian Lillard,67,2398,0.451,0.391,0.519,0.928,283.0,505.0,62.0,17.0,203.0,2.0
1356,Nassir Little,48,640,0.467,0.35,0.575,0.8,128.0,23.0,5.0,13.0,18.0,2.0
1357,Kevon Looney,61,1161,0.548,0.235,0.578,0.646,322.0,119.0,21.0,22.0,37.0,2.0
1358,Brook Lopez,70,1902,0.503,0.338,0.632,0.845,347.0,50.0,40.0,103.0,64.0,2.0
1359,Robin Lopez,71,1354,0.633,0.278,0.649,0.723,272.0,55.0,15.0,44.0,75.0,2.0
1360,Didi Louzada,3,56,0.231,0.25,0.2,0.0,3.0,3.0,2.0,0.0,3.0,2.0
1361,Kevin Love,25,622,0.409,0.365,0.479,0.824,186.0,63.0,16.0,2.0,38.0,2.0
1362,Kyle Lowry,46,1601,0.436,0.396,0.487,0.875,247.0,338.0,45.0,14.0,126.0,2.0
1363,Timothé Luwawu-Cabarrot,58,1050,0.365,0.314,0.47,0.814,129.0,69.0,33.0,6.0,43.0,2.0
1364,Trey Lyles,23,358,0.478,0.35,0.58,0.652,86.0,14.0,6.0,1.0,6.0,2.0
1365,Will Magnay,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
1366,Thon Maker,8,76,0.556,0.0,0.625,0.909,18.0,4.0,2.0,4.0,3.0,2.0
1367,Théo Maledon,65,1778,0.368,0.335,0.402,0.748,211.0,227.0,56.0,11.0,141.0,2.0
1368,Karim Mané,10,88,0.231,0.5,0.182,0.8,14.0,4.0,0.0,2.0,3.0,2.0
1369,Terance Mann,67,1263,0.509,0.418,0.541,0.83,242.0,104.0,29.0,13.0,40.0,2.0
1370,Nico Mannion,30,364,0.342,0.367,0.315,0.821,46.0,70.0,16.0,1.0,31.0,2.0
1371,Boban Marjanović,33,271,0.508,0.125,0.535,0.816,128.0,10.0,2.0,6.0,12.0,2.0
1372,Lauri Markkanen,51,1317,0.48,0.402,0.582,0.826,268.0,45.0,26.0,15.0,52.0,2.0
1373,Naji Marshall,32,700,0.392,0.349,0.421,0.707,148.0,88.0,26.0,10.0,38.0,2.0
1374,Caleb Martin,53,818,0.375,0.248,0.496,0.641,141.0,67.0,37.0,12.0,33.0,2.0
1375,Cody Martin,52,849,0.441,0.276,0.515,0.581,161.0,86.0,37.0,12.0,40.0,2.0
1376,Jeremiah Martin,9,75,0.273,0.25,0.286,0.2,7.0,4.0,5.0,2.0,6.0,2.0
1377,Kelan Martin,35,322,0.449,0.4,0.487,0.9,78.0,17.0,10.0,10.0,16.0,2.0
1378,Kenyon Martin Jr.,45,1068,0.509,0.365,0.572,0.714,242.0,48.0,30.0,41.0,38.0,2.0
1379,Frank Mason III,4,79,0.375,0.4,0.368,0.714,12.0,12.0,0.0,0.0,5.0,2.0
1380,Garrison Mathews,64,1038,0.409,0.384,0.538,0.884,87.0,26.0,29.0,7.0,10.0,2.0
1381,Dakota Mathias,8,123,0.396,0.308,0.5,0.333,7.0,13.0,1.0,3.0,1.0,2.0
1382,Wesley Matthews,58,1130,0.353,0.335,0.418,0.854,93.0,54.0,38.0,17.0,26.0,2.0
1383,Tyrese Maxey,61,935,0.462,0.301,0.512,0.871,104.0,120.0,26.0,13.0,41.0,2.0
1384,Skylar Mays,33,269,0.449,0.35,0.517,0.88,35.0,30.0,14.0,2.0,9.0,2.0
1385,Patrick McCaw,5,33,1.0,0.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0
1386,CJ McCollum,47,1600,0.458,0.402,0.509,0.812,185.0,223.0,44.0,21.0,65.0,2.0
1387,T.J. McConnell,69,1796,0.559,0.313,0.586,0.688,256.0,456.0,128.0,23.0,135.0,2.0
1388,Jaden McDaniels,63,1511,0.447,0.364,0.544,0.6,232.0,71.0,35.0,60.0,47.0,2.0
1389,Jalen McDaniels,47,904,0.468,0.333,0.547,0.703,169.0,53.0,28.0,19.0,45.0,2.0
1390,Doug McDermott,66,1619,0.532,0.388,0.641,0.816,221.0,85.0,20.0,6.0,53.0,2.0
1391,Sean McDermott,18,158,0.394,0.227,0.727,1.0,19.0,4.0,2.0,3.0,4.0,2.0
1392,JaVale McGee,46,678,0.511,0.208,0.539,0.657,239.0,39.0,19.0,54.0,60.0,2.0
1393,Rodney McGruder,16,194,0.529,0.458,0.565,0.75,22.0,16.0,8.0,1.0,7.0,2.0
1394,Alfonzo McKinnie,39,258,0.516,0.41,0.593,0.556,54.0,6.0,7.0,0.0,5.0,2.0
1395,Jordan McLaughlin,51,938,0.413,0.359,0.447,0.767,108.0,193.0,51.0,6.0,51.0,2.0
1396,Ben McLemore,53,905,0.37,0.346,0.447,0.736,100.0,39.0,23.0,9.0,42.0,2.0
1397,Nicolò Melli,45,566,0.326,0.271,0.411,0.76,122.0,44.0,14.0,3.0,12.0,2.0
1398,De'Anthony Melton,52,1045,0.438,0.412,0.467,0.804,161.0,132.0,60.0,31.0,66.0,2.0
1399,Sam Merrill,30,233,0.444,0.447,0.44,1.0,30.0,21.0,8.0,1.0,10.0,2.0
1400,Chimezie Metu,36,488,0.508,0.351,0.549,0.721,112.0,28.0,14.0,18.0,29.0,2.0
1401,Khris Middleton,68,2269,0.476,0.414,0.508,0.898,406.0,370.0,74.0,9.0,178.0,2.0
1402,Darius Miller,18,197,0.458,0.405,0.833,1.0,24.0,21.0,13.0,5.0,8.0,2.0
1403,Patty Mills,68,1685,0.412,0.375,0.5,0.91,116.0,162.0,42.0,3.0,66.0,2.0
1404,Paul Millsap,56,1162,0.476,0.343,0.55,0.724,262.0,98.0,51.0,36.0,51.0,2.0
1405,Shake Milton,63,1461,0.45,0.35,0.494,0.83,148.0,193.0,39.0,18.0,103.0,2.0
1406,Donovan Mitchell,53,1771,0.438,0.386,0.476,0.845,235.0,277.0,52.0,15.0,147.0,2.0
1407,Adam Mokoka,14,56,0.368,0.1,0.667,0.0,5.0,5.0,2.0,1.0,5.0,2.0
1408,Malik Monk,42,878,0.434,0.401,0.471,0.819,101.0,87.0,19.0,4.0,55.0,2.0
1409,E'Twaun Moore,27,389,0.455,0.314,0.512,0.857,45.0,40.0,15.0,5.0,23.0,2.0
1410,Ja Morant,63,2053,0.449,0.303,0.499,0.728,252.0,465.0,57.0,13.0,203.0,2.0
1411,Juwan Morgan,29,147,0.467,0.308,0.588,0.429,28.0,9.0,4.0,1.0,4.0,2.0
1412,Marcus Morris,57,1502,0.473,0.473,0.472,0.82,234.0,58.0,34.0,15.0,57.0,2.0
1413,Markieff Morris,61,1200,0.405,0.311,0.521,0.72,266.0,73.0,22.0,19.0,54.0,2.0
1414,Monte Morris,47,1196,0.481,0.381,0.534,0.795,96.0,150.0,34.0,13.0,34.0,2.0
1415,Mychal Mulder,60,766,0.449,0.397,0.667,0.636,60.0,26.0,12.0,12.0,16.0,2.0
1416,Dejounte Murray,67,2139,0.453,0.317,0.488,0.791,473.0,363.0,101.0,7.0,117.0,2.0
1417,Jamal Murray,48,1704,0.477,0.408,0.523,0.869,194.0,231.0,64.0,13.0,108.0,2.0
1418,Mike Muscala,35,645,0.446,0.37,0.614,0.917,132.0,28.0,8.0,11.0,21.0,2.0
1419,Sviatoslav Mykhailiuk,66,1324,0.411,0.334,0.536,0.76,163.0,110.0,51.0,12.0,88.0,2.0
1420,Abdel Nader,24,355,0.491,0.419,0.534,0.757,62.0,19.0,10.0,9.0,19.0,2.0
1421,Larry Nance Jr.,35,1091,0.471,0.36,0.551,0.612,235.0,107.0,61.0,17.0,55.0,2.0
1422,Aaron Nesmith,46,669,0.438,0.37,0.543,0.786,127.0,23.0,15.0,9.0,23.0,2.0
1423,Raul Neto,64,1403,0.468,0.39,0.512,0.882,156.0,146.0,73.0,6.0,53.0,2.0
1424,Georges Niang,72,1154,0.437,0.425,0.469,0.957,176.0,59.0,25.0,8.0,51.0,2.0
1425,Zeke Nnaji,42,397,0.481,0.407,0.578,0.8,65.0,10.0,8.0,4.0,7.0,2.0
1426,Nerlens Noel,64,1547,0.614,0.0,0.623,0.714,408.0,46.0,70.0,141.0,65.0,2.0
1427,Jaylen Nowell,42,759,0.424,0.333,0.497,0.818,95.0,62.0,22.0,12.0,28.0,2.0
1428,Frank Ntilikina,33,322,0.367,0.479,0.194,0.444,31.0,19.0,18.0,4.0,11.0,2.0
1429,Kendrick Nunn,56,1650,0.485,0.381,0.583,0.933,179.0,148.0,52.0,14.0,80.0,2.0
1430,James Nunnally,9,48,0.385,0.333,1.0,0.5,9.0,3.0,0.0,0.0,2.0,2.0
1431,Jusuf Nurkić,37,880,0.514,0.4,0.525,0.619,332.0,125.0,38.0,39.0,73.0,2.0
1432,David Nwaba,30,679,0.486,0.27,0.574,0.691,118.0,31.0,30.0,21.0,17.0,2.0
1433,Jordan Nwora,30,274,0.459,0.452,0.466,0.76,60.0,7.0,16.0,7.0,24.0,2.0
1434,Royce O'Neale,71,2241,0.444,0.385,0.586,0.848,485.0,181.0,57.0,32.0,83.0,2.0
1435,Semi Ojeleye,56,950,0.403,0.367,0.492,0.75,147.0,37.0,17.0,0.0,21.0,2.0
1436,Jahlil Okafor,27,347,0.618,0.222,0.656,0.708,66.0,13.0,6.0,5.0,21.0,2.0
1437,Chuma Okeke,45,1133,0.417,0.348,0.47,0.75,181.0,101.0,48.0,22.0,38.0,2.0
1438,Josh Okogie,59,1197,0.402,0.269,0.5,0.769,156.0,63.0,54.0,28.0,43.0,2.0
1439,Onyeka Okongwu,50,601,0.644,0.0,0.658,0.632,163.0,18.0,23.0,33.0,29.0,2.0
1440,Isaac Okoro,67,2173,0.42,0.29,0.501,0.726,206.0,128.0,62.0,24.0,86.0,2.0
1441,KZ Okpala,37,447,0.375,0.24,0.522,0.533,68.0,19.0,10.0,11.0,15.0,2.0
1442,Victor Oladipo,33,1080,0.408,0.326,0.466,0.754,160.0,151.0,46.0,14.0,83.0,2.0
1443,Cameron Oliver,4,87,0.576,0.308,0.75,0.25,21.0,5.0,2.0,4.0,3.0,2.0
1444,Kelly Olynyk,70,1997,0.484,0.342,0.641,0.829,489.0,203.0,79.0,42.0,126.0,2.0
1445,Miye Oni,54,519,0.354,0.341,0.455,0.833,84.0,28.0,11.0,8.0,16.0,2.0
1446,Cedi Osman,59,1510,0.374,0.306,0.458,0.8,201.0,174.0,53.0,9.0,80.0,2.0
1447,Daniel Oturu,30,161,0.423,0.2,0.447,0.75,48.0,10.0,4.0,7.0,9.0,2.0
1448,Kelly Oubre Jr.,55,1687,0.439,0.316,0.519,0.695,329.0,73.0,57.0,42.0,70.0,2.0
1449,Jabari Parker,13,165,0.545,0.182,0.636,0.769,42.0,11.0,1.0,5.0,10.0,2.0
1450,Eric Paschall,40,695,0.497,0.333,0.533,0.713,128.0,51.0,12.0,7.0,43.0,2.0
1451,Anžejs Pasečņiks,1,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0
1452,Patrick Patterson,38,582,0.436,0.357,0.604,0.765,75.0,29.0,14.0,8.0,11.0,2.0
1453,Justin Patton,13,247,0.414,0.265,0.556,0.75,49.0,14.0,12.0,14.0,4.0,2.0
1454,Chris Paul,70,2199,0.499,0.395,0.543,0.934,312.0,622.0,99.0,19.0,156.0,2.0
1455,Cameron Payne,60,1079,0.484,0.44,0.515,0.893,144.0,217.0,36.0,16.0,60.0,2.0
1456,Elfrid Payton,63,1484,0.432,0.286,0.46,0.682,216.0,203.0,47.0,9.0,103.0,2.0
1457,Gary Payton II,10,40,0.769,0.5,0.889,0.75,11.0,1.0,6.0,1.0,1.0,2.0
1458,Norvel Pelle,13,84,0.533,0.0,0.533,0.667,19.0,2.0,1.0,9.0,3.0,2.0
1459,Reggie Perry,26,211,0.41,0.19,0.491,0.769,73.0,14.0,6.0,6.0,15.0,2.0
1460,Theo Pinson,17,34,0.111,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0
1461,Mason Plumlee,56,1499,0.614,0.0,0.626,0.669,519.0,202.0,43.0,50.0,105.0,2.0
1462,Jakob Poeltl,69,1845,0.616,0.0,0.616,0.508,547.0,134.0,47.0,123.0,83.0,2.0
1463,Vincent Poirier,10,39,0.25,0.0,0.273,0.333,14.0,2.0,0.0,3.0,4.0,2.0
1464,Aleksej Pokusevski,45,1090,0.341,0.28,0.403,0.738,212.0,97.0,20.0,42.0,99.0,2.0
1465,Jordan Poole,51,988,0.432,0.351,0.545,0.882,92.0,99.0,26.0,9.0,51.0,2.0
1466,Jontay Porter,11,54,0.533,0.375,0.714,0.6,14.0,1.0,3.0,1.0,7.0,2.0
1467,Kevin Porter Jr.,26,835,0.425,0.311,0.515,0.734,99.0,164.0,19.0,8.0,91.0,2.0
1468,Michael Porter Jr.,61,1912,0.542,0.445,0.628,0.791,445.0,70.0,40.0,54.0,77.0,2.0
1469,Otto Porter,28,606,0.432,0.375,0.48,0.857,152.0,55.0,16.0,4.0,25.0,2.0
1470,Bobby Portis,66,1372,0.523,0.471,0.542,0.74,466.0,71.0,52.0,26.0,56.0,2.0
1471,Kristaps Porziņģis,43,1327,0.476,0.376,0.536,0.855,381.0,68.0,20.0,58.0,51.0,2.0
1472,Dwight Powell,58,966,0.619,0.238,0.665,0.782,234.0,63.0,36.0,30.0,40.0,2.0
1473,Norman Powell,69,2205,0.477,0.411,0.532,0.871,215.0,129.0,82.0,18.0,119.0,2.0
1474,Taurean Prince,41,905,0.401,0.4,0.401,0.855,142.0,76.0,28.0,23.0,47.0,2.0
1475,Payton Pritchard,66,1268,0.44,0.411,0.482,0.889,158.0,120.0,37.0,9.0,53.0,2.0
1476,Immanuel Quickley,64,1243,0.395,0.389,0.401,0.891,137.0,127.0,30.0,12.0,58.0,2.0
1477,Jahmi'us Ramsey,13,94,0.395,0.263,0.526,1.0,10.0,6.0,4.0,1.0,3.0,2.0
1478,Chasson Randle,41,837,0.388,0.338,0.449,0.792,82.0,74.0,22.0,5.0,46.0,2.0
1479,Julius Randle,71,2667,0.456,0.411,0.474,0.811,723.0,427.0,64.0,18.0,241.0,2.0
1480,Cam Reddish,26,750,0.365,0.262,0.46,0.817,104.0,35.0,33.0,9.0,34.0,2.0
1481,J.J. Redick,44,723,0.397,0.371,0.449,0.942,64.0,51.0,11.0,3.0,36.0,2.0
1482,Paul Reed,26,177,0.538,0.0,0.583,0.5,61.0,12.0,10.0,13.0,12.0,2.0
1483,Naz Reid,70,1347,0.523,0.351,0.597,0.693,322.0,72.0,34.0,76.0,69.0,2.0
1484,Cameron Reynolds,5,40,0.333,0.25,0.5,0.0,5.0,2.0,0.0,0.0,0.0,2.0
1485,Nick Richards,18,63,0.444,0.0,0.5,0.636,11.0,2.0,0.0,0.0,3.0,2.0
1486,Josh Richardson,59,1790,0.427,0.33,0.501,0.917,195.0,153.0,61.0,24.0,79.0,2.0
1487,Grant Riller,7,27,0.667,0.5,0.75,0.0,1.0,3.0,1.0,0.0,1.0,2.0
1488,Austin Rivers,36,845,0.424,0.369,0.51,0.71,82.0,81.0,30.0,2.0,36.0,2.0
1489,Andre Roberson,5,63,0.143,0.125,0.167,0.5,15.0,4.0,3.0,1.0,2.0,2.0
1490,Duncan Robinson,72,2262,0.439,0.408,0.625,0.827,250.0,127.0,43.0,20.0,81.0,2.0
1491,Glenn Robinson III,23,369,0.424,0.364,0.473,0.913,45.0,20.0,4.0,3.0,11.0,2.0
1492,Jerome Robinson,17,305,0.295,0.262,0.321,0.8,38.0,25.0,12.0,6.0,19.0,2.0
1493,Justin Robinson,9,88,0.333,0.286,0.429,0.6,7.0,9.0,3.0,0.0,2.0,2.0
1494,Mitchell Robinson,31,853,0.653,0.0,0.653,0.491,252.0,17.0,35.0,45.0,26.0,2.0
1495,Isaiah Roby,61,1425,0.483,0.294,0.547,0.744,341.0,107.0,52.0,37.0,113.0,2.0
1496,Rajon Rondo,45,770,0.442,0.404,0.468,0.941,110.0,199.0,37.0,4.0,79.0,2.0
1497,Derrick Rose,50,1279,0.47,0.388,0.492,0.866,130.0,209.0,49.0,19.0,78.0,2.0
1498,Terrence Ross,46,1347,0.412,0.337,0.469,0.87,158.0,108.0,47.0,21.0,74.0,2.0
1499,Terry Rozier,69,2383,0.45,0.389,0.512,0.817,302.0,293.0,87.0,26.0,128.0,2.0
1500,Ricky Rubio,68,1772,0.388,0.308,0.447,0.867,223.0,433.0,98.0,4.0,111.0,2.0
1501,D'Angelo Russell,42,1196,0.431,0.387,0.471,0.765,111.0,244.0,45.0,18.0,112.0,2.0
1502,Domantas Sabonis,62,2231,0.535,0.321,0.582,0.732,742.0,415.0,76.0,33.0,213.0,2.0
1503,Luka Šamanić,33,308,0.448,0.279,0.565,0.552,68.0,15.0,8.0,8.0,20.0,2.0
1504,JaKarr Sampson,29,316,0.496,0.2,0.541,0.655,77.0,4.0,2.0,14.0,15.0,2.0
1505,Dario Šarić,50,871,0.447,0.348,0.512,0.848,190.0,65.0,30.0,4.0,57.0,2.0
1506,Tomáš Satoranský,58,1307,0.514,0.356,0.602,0.848,142.0,271.0,40.0,14.0,96.0,2.0
1507,Dennis Schröder,61,1956,0.437,0.335,0.476,0.848,211.0,351.0,70.0,13.0,163.0,2.0
1508,Mike Scott,51,852,0.36,0.342,0.411,0.667,120.0,40.0,24.0,14.0,19.0,2.0
1509,Jay Scrubb,4,84,0.389,0.222,0.444,1.0,14.0,1.0,4.0,0.0,7.0,2.0
1510,Collin Sexton,60,2115,0.475,0.371,0.508,0.815,187.0,262.0,62.0,10.0,167.0,2.0
1511,Landry Shamet,61,1403,0.408,0.387,0.463,0.846,112.0,99.0,31.0,10.0,48.0,2.0
1512,Iman Shumpert,2,11,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
1513,Pascal Siakam,56,2006,0.455,0.297,0.509,0.827,405.0,250.0,64.0,37.0,130.0,2.0
1514,Chris Silva,15,92,0.625,1.0,0.6,0.733,27.0,6.0,1.0,6.0,10.0,2.0
1515,Ben Simmons,58,1877,0.557,0.3,0.562,0.613,417.0,401.0,93.0,35.0,173.0,2.0
1516,Anfernee Simons,64,1104,0.419,0.426,0.403,0.807,140.0,89.0,18.0,8.0,43.0,2.0
1517,Deividas Sirvydis,20,133,0.35,0.357,0.333,0.5,29.0,5.0,2.0,0.0,5.0,2.0
1518,Alen Smailagić,15,84,0.407,0.4,0.412,0.333,16.0,4.0,3.0,5.0,5.0,2.0
1519,Marcus Smart,48,1581,0.398,0.33,0.482,0.79,167.0,273.0,72.0,23.0,96.0,2.0
1520,Dennis Smith Jr.,23,420,0.4,0.328,0.448,0.731,55.0,77.0,23.0,14.0,26.0,2.0
1521,Ish Smith,44,924,0.434,0.367,0.448,0.576,150.0,172.0,32.0,13.0,41.0,2.0
1522,Jalen Smith,27,156,0.44,0.235,0.545,0.714,37.0,4.0,1.0,5.0,7.0,2.0
1523,Tony Snell,47,992,0.515,0.569,0.419,1.0,112.0,59.0,13.0,11.0,21.0,2.0
1524,Ray Spalding,2,19,0.5,0.0,0.667,0.0,4.0,0.0,0.0,2.0,3.0,2.0
1525,Cassius Stanley,24,93,0.302,0.231,0.333,0.778,20.0,1.0,1.0,2.0,1.0,2.0
1526,Lamar Stevens,40,499,0.456,0.16,0.523,0.725,96.0,25.0,17.0,13.0,23.0,2.0
1527,Isaiah Stewart,68,1455,0.553,0.333,0.592,0.696,453.0,59.0,39.0,86.0,67.0,2.0
1528,Max Strus,39,507,0.455,0.338,0.897,0.667,41.0,24.0,11.0,2.0,8.0,2.0
1529,Edmond Sumner,53,861,0.525,0.398,0.582,0.819,94.0,49.0,33.0,10.0,51.0,2.0
1530,Jae'Sean Tate,70,2043,0.506,0.308,0.595,0.694,374.0,178.0,85.0,36.0,98.0,2.0
1531,Jayson Tatum,64,2290,0.459,0.386,0.502,0.868,472.0,276.0,75.0,31.0,171.0,2.0
1532,Jeff Teague,55,950,0.433,0.439,0.431,0.848,88.0,132.0,34.0,12.0,64.0,2.0
1533,Garrett Temple,56,1528,0.415,0.335,0.503,0.8,160.0,124.0,43.0,30.0,58.0,2.0
1534,Tyrell Terry,11,56,0.313,0.0,0.556,0.333,6.0,6.0,5.0,0.0,2.0,2.0
1535,Daniel Theis,65,1601,0.541,0.322,0.646,0.673,356.0,108.0,41.0,57.0,66.0,2.0
1536,Brodric Thomas,32,399,0.361,0.271,0.469,0.674,53.0,30.0,15.0,10.0,22.0,2.0
1537,Isaiah Thomas,3,48,0.333,0.25,0.4,1.0,4.0,5.0,1.0,0.0,6.0,2.0
1538,Khyri Thomas,5,153,0.485,0.333,0.59,1.0,18.0,25.0,9.0,6.0,6.0,2.0
1539,Matt Thomas,45,326,0.394,0.338,0.489,0.857,44.0,19.0,4.0,0.0,14.0,2.0
1540,Tristan Thompson,54,1287,0.518,0.0,0.523,0.592,439.0,67.0,24.0,33.0,62.0,2.0
1541,Sindarius Thornwell,21,217,0.326,0.304,0.348,0.5,18.0,21.0,13.0,2.0,7.0,2.0
1542,Matisse Thybulle,65,1298,0.42,0.301,0.59,0.444,124.0,63.0,105.0,71.0,32.0,2.0
1543,Killian Tillie,18,182,0.333,0.303,0.375,0.818,24.0,8.0,5.0,8.0,2.0,2.0
1544,Xavier Tillman Sr.,59,1085,0.559,0.338,0.62,0.642,256.0,75.0,44.0,33.0,45.0,2.0
1545,Anthony Tolliver,11,99,0.235,0.286,0.0,0.833,10.0,2.0,3.0,2.0,3.0,2.0
1546,Obi Toppin,62,683,0.498,0.306,0.629,0.731,138.0,29.0,17.0,15.0,23.0,2.0
1547,Juan Toscano-Anderson,53,1107,0.579,0.402,0.718,0.71,234.0,150.0,41.0,26.0,61.0,2.0
1548,Axel Toupane,8,61,0.364,0.5,0.333,0.714,6.0,4.0,2.0,3.0,0.0,2.0
1549,Karl-Anthony Towns,50,1689,0.486,0.387,0.541,0.859,529.0,225.0,39.0,57.0,160.0,2.0
1550,Gary Trent Jr.,58,1802,0.408,0.385,0.435,0.783,152.0,80.0,56.0,10.0,43.0,2.0
1551,P.J. Tucker,52,1356,0.373,0.336,0.448,0.75,204.0,61.0,39.0,20.0,40.0,2.0
1552,Rayjon Tucker,14,68,0.5,0.286,0.636,0.737,11.0,6.0,2.0,0.0,4.0,2.0
1553,Myles Turner,47,1455,0.477,0.335,0.606,0.782,306.0,48.0,40.0,159.0,67.0,2.0
1554,Jonas Valančiūnas,62,1755,0.592,0.368,0.611,0.773,776.0,112.0,35.0,57.0,100.0,2.0
1555,Denzel Valentine,62,1036,0.373,0.331,0.431,0.941,197.0,105.0,30.0,7.0,42.0,2.0
1556,Jarred Vanderbilt,64,1139,0.606,0.2,0.615,0.559,368.0,76.0,64.0,46.0,53.0,2.0
1557,Fred VanVleet,52,1899,0.389,0.366,0.416,0.885,220.0,328.0,87.0,37.0,95.0,2.0
1558,Anderson Varejão,5,36,0.25,0.0,0.267,0.556,20.0,3.0,0.0,2.0,1.0,2.0
1559,Devin Vassell,62,1056,0.406,0.347,0.464,0.843,174.0,56.0,43.0,18.0,22.0,2.0
1560,Gabe Vincent,50,655,0.378,0.309,0.5,0.87,56.0,67.0,21.0,2.0,34.0,2.0
1561,Noah Vonleh,4,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
1562,Nikola Vučević,70,2348,0.477,0.4,0.513,0.84,817.0,269.0,65.0,48.0,126.0,2.0
