,Name,Position,Team,Salary
521,Hassan Whiteside, C,Portland Trail Blazers,27093017
522,LaMarcus Aldridge, C,San Antonio Spurs,26000000
523,Stephen Curry,PG,Golden State Warriors,40231758
524,Chris Paul,PG,Oklahoma City Thunder,38506482
525,Kevin Durant,PF,Brooklyn Nets,38199000
526,LeBron James,SF,Los Angeles Lakers,37436858
527,Blake Griffin,PF,Detroit Pistons,34449964
528,Tobias Harris,PF,Philadelphia 76ers,32742000
529,Kawhi Leonard,SF,LA Clippers,32742000
530,Gordon Hayward,SF,Boston Celtics,32700690
531,Kyrie Irving,PG,Brooklyn Nets,31742000
532,Paul George,SG,LA Clippers,30560700
533,Damian Lillard,PG,Portland Trail Blazers,29802321
534,Nikola Vucevic, C,Orlando Magic,28000000
535,DeMar DeRozan,SF,San Antonio Spurs,27739975
536,Joel Embiid, C,Philadelphia 76ers,27504630
537,Nikola Jokic, C,Denver Nuggets,27504630
538,D'Angelo Russell,PG,Minnesota Timberwolves,27285000
539,Kristaps Porzingis, C,Dallas Mavericks,27285000
540,Bradley Beal,SG,Washington Wizards,27093019
541,Anthony Davis,PF,Los Angeles Lakers,27093018
542,Jrue Holiday,PG,New Orleans Pelicans,26231111
543,Steven Adams, C,Oklahoma City Thunder,25842697
544,Nicolas Batum,PF,Charlotte Hornets,25565217
545,Harrison Barnes,SF,Sacramento Kings,24147727
546,Rudy Gobert, C,Utah Jazz,23241573
547,Victor Oladipo,SG,Indiana Pacers,21000000
548,Malcolm Brogdon,PG,Indiana Pacers,20000000
549,Aaron Gordon,PF,Orlando Magic,19863636
550,Kent Bazemore,SF,Sacramento Kings,19269662
551,Jeff Teague,PG,Atlanta Hawks,19000000
552,Draymond Green,PF,Golden State Warriors,18539130
553,Allen Crabbe, G,Minnesota Timberwolves,18500000
554,Myles Turner, C,Indiana Pacers,18000000
555,Derrick Favors, C,New Orleans Pelicans,17650000
556,Evan Fournier,SG,Orlando Magic,17150000
557,Bojan Bogdanovic,SF,Utah Jazz,17000000
558,Gorgui Dieng, C,Memphis Grizzlies,16229213
559,Jonas Valanciunas, C,Memphis Grizzlies,16000000
560,Kelly Oubre Jr.,SG,Phoenix Suns,15625000
561,Dennis Schroder,PG,Oklahoma City Thunder,15500000
562,James Johnson,PF,Minnesota Timberwolves,15349400
563,Giannis Antetokounmpo,PF,Milwaukee Bucks,25842697
564,Marc Gasol, C,Toronto Raptors,25595700
565,Chandler Parsons,SF,Atlanta Hawks,25102511
566,Serge Ibaka, C,Toronto Raptors,23271604
567,Danilo Gallinari,PF,Oklahoma City Thunder,22615559
568,Tim Hardaway Jr.,SF,Dallas Mavericks,20025127
569,Terry Rozier,SG,Charlotte Hornets,19894737
570,Zach LaVine,SG,Chicago Bulls,19500000
571,Goran Dragic,PG,Miami Heat,19217900
572,Evan Turner, G,Atlanta Hawks,18606556
573,Tristan Thompson, C,Cleveland Cavaliers,18539130
574,Julius Randle,PF,New York Knicks,18000000
575,Gary Harris,SG,Denver Nuggets,17839286
576,Andre Iguodala,SF,Miami Heat,17185185
577,Bismack Biyombo, C,Charlotte Hornets,17000000
578,Timofey Mozgov, C,Orlando Magic,16720000
579,Ricky Rubio,PG,Phoenix Suns,16200000
580,Brandon Knight, G,Detroit Pistons,15643750
581,Eric Bledsoe,SG,Milwaukee Bucks,15625000
582,Ian Mahinmi, C,Washington Wizards,15450051
583,Marcus Morris Sr.,SF,LA Clippers,15000000
584,Luke Babbitt, F,Miami Heat,14651700
585,Rudy Gay,SF,San Antonio Spurs,14500000
586,Eric Gordon,SG,Houston Rockets,14057730
587,Marcin Gortat, C,LA Clippers,13565218
588,Jordan Clarkson,PG,Utah Jazz,13437500
589,Jusuf Nurkic, C,Portland Trail Blazers,13125000
590,Thaddeus Young,PF,Chicago Bulls,12900000
591,Courtney Lee, G,Dallas Mavericks,12759670
592,Larry Nance Jr.,PF,Cleveland Cavaliers,12727273
593,Marcus Smart,PG,Boston Celtics,12553571
594,Terrence Ross,SG,Orlando Magic,12500000
595,Patty Mills,PG,San Antonio Spurs,12428571
596,Patrick Beverley,PG,LA Clippers,12345680
597,Brook Lopez, C,Milwaukee Bucks,12093023
598,Joe Ingles,SG,Utah Jazz,11954546
599,Tony Snell,SF,Detroit Pistons,11392857
600,Meyers Leonard, C,Miami Heat,11286516
601,Maurice Harkless,SF,New York Knicks,11011234
602,Andre Roberson, F,Oklahoma City Thunder,10740740
603,Bobby Portis, C,New York Knicks,15000000
604,Clint Capela, C,Houston Rockets,14896552
605,Danny Green,SF,Los Angeles Lakers,14634146
606,Cody Zeller, C,Charlotte Hornets,14471910
607,Mason Plumlee, C,Denver Nuggets,14041096
608,JJ Redick,SG,New Orleans Pelicans,13486300
609,Dewayne Dedmon, C,Atlanta Hawks,13333333
610,Justise Winslow,PF,Miami Heat,13000000
611,Will Barton,SF,Denver Nuggets,12776786
612,Solomon Hill,SF,Miami Heat,12758781
613,Kelly Olynyk,PF,Miami Heat,12667885
614,Miles Plumlee, C,Memphis Grizzlies,12500000
615,Nikola Mirotic, F,Milwaukee Bucks,12500000
616,Tyreke Evans, G,Indiana Pacers,12400000
617,Trevor Ariza,SF,Portland Trail Blazers,12195122
618,Cory Joseph,PG,Sacramento Kings,12000000
619,Zach Randolph, F,Dallas Mavericks,11692308
620,Robert Covington,PF,Houston Rockets,11301219
621,Omer Asik, C,Chicago Bulls,11286516
622,T.J. Warren,SF,Indiana Pacers,10810000
623,Jeremy Lamb,SG,Indiana Pacers,10500000
624,Norman Powell,SF,Toronto Raptors,10116576
625,Darren Collison, G,Indiana Pacers,10000000
626,DeAndre Jordan, C,Brooklyn Nets,9881598
627,Markelle Fultz,PG,Orlando Magic,9745200
628,Matthew Dellavedova,PG,Cleveland Cavaliers,9607500
629,Deandre Ayton, C,Phoenix Suns,9562920
630,Fred VanVleet,SG,Toronto Raptors,9346153
631,Tyus Jones,PG,Memphis Grizzlies,9258000
632,George Hill, G,Milwaukee Bucks,9133907
633,Taj Gibson, C,New York Knicks,9000000
634,Lonzo Ball,PG,New Orleans Pelicans,8719320
635,Marvin Bagley III,PF,Sacramento Kings,8556120
636,P.J. Tucker,PF,Houston Rockets,8349039
637,Cristiano Felicio,PF,Chicago Bulls,8156500
638,Kentavious Caldwell-Pope,SG,Los Angeles Lakers,8089282
639,Elfrid Payton,PG,New York Knicks,8000000
640,Maxi Kleber,PF,Dallas Mavericks,8000000
641,RJ Barrett,SG,New York Knicks,7839960
642,Jae Crowder,PF,Miami Heat,7815533
643,Spencer Dinwiddie,PG,Brooklyn Nets,10605600
644,Dwight Powell, C,Dallas Mavericks,10259375
645,Josh Richardson,SG,Philadelphia 76ers,10116576
646,Tomas Satoransky,SG,Chicago Bulls,10000000
647,Zion Williamson,PF,New Orleans Pelicans,9757440
648,John Henson, F,Detroit Pistons,9732396
649,Dante Exum,PG,Cleveland Cavaliers,9600000
650,Delon Wright, G,Dallas Mavericks,9473684
651,Jerami Grant,SF,Denver Nuggets,9346153
652,Al-Farouq Aminu,PF,Orlando Magic,9258000
653,Kyle Anderson,SF,Memphis Grizzlies,9073050
654,Ja Morant,PG,Memphis Grizzlies,8730240
655,E'Twaun Moore,SG,New Orleans Pelicans,8664928
656,Bogdan Bogdanovic,SG,Sacramento Kings,8529386
657,C.J. Miles,SG,Washington Wizards,8333333
658,Ben Simmons,PG,Philadelphia 76ers,8113930
659,Thomas Bryant, C,Washington Wizards,8000000
660,Wayne Ellington,SG,New York Knicks,8000000
661,Lou Williams,SG,LA Clippers,8000000
662,Jayson Tatum,SF,Boston Celtics,7830000
663,Joe Harris,SF,Brooklyn Nets,7666667
664,Seth Curry,SG,Dallas Mavericks,7461380
665,Doug McDermott,SF,Indiana Pacers,7333333
666,Brandon Ingram,SF,New Orleans Pelicans,7265485
667,Lance Thomas, F,Brooklyn Nets,7119650
668,Josh Jackson,SG,Memphis Grizzlies,7059480
669,Ersan Ilyasova,PF,Milwaukee Bucks,7000000
670,Jaren Jackson Jr.,PF,Memphis Grizzlies,6927480
671,Jaylen Brown,SG,Boston Celtics,6534829
672,Ivica Zubac, C,LA Clippers,6481482
673,De'Aaron Fox,PG,Sacramento Kings,6392760
674,Trae Young,PG,Atlanta Hawks,6273000
675,Ish Smith,PG,Washington Wizards,6000000
676,Marco Belinelli, G,San Antonio Spurs,5846154
677,Jonathan Isaac,PF,Orlando Magic,5806440
678,Jonathon Simmons, G,Washington Wizards,5700000
679,Trey Lyles,PF,San Antonio Spurs,5500000
680,Aron Baynes, C,Phoenix Suns,5453280
681,Kris Dunn,PG,Chicago Bulls,5348007
682,Lauri Markkanen,PF,Chicago Bulls,5300400
683,Luka Doncic,PG,Dallas Mavericks,7683360
684,Darrell Arthur, F,Phoenix Suns,7464912
685,Langston Galloway,SG,Detroit Pistons,7333333
686,Derrick Rose,PG,Detroit Pistons,7317073
687,D.J. Augustin,PG,Orlando Magic,7250000
688,De'Andre Hunter,SF,Atlanta Hawks,7068360
689,Davis Bertans,SF,Washington Wizards,7000000
690,Darius Miller,SF,Oklahoma City Thunder,7000000
691,Nemanja Bjelica, F,Sacramento Kings,6825000
692,Jabari Parker,PF,Sacramento Kings,6500000
693,Darius Garland,PG,Cleveland Cavaliers,6400920
694,Milos Teodosic, G,LA Clippers,6300000
695,Wesley Johnson, F,Washington Wizards,6134520
696,Montrezl Harrell, C,LA Clippers,6000000
697,Jarrett Culver,SF,Minnesota Timberwolves,5813640
698,Rodney Hood,SG,Portland Trail Blazers,5718000
699,Mo Bamba, C,Orlando Magic,5697600
700,Alex Abrines, G,Oklahoma City Thunder,5455236
701,Jason Smith, F,New Orleans Pelicans,5450000
702,Coby White,PG,Chicago Bulls,5307120
703,Wendell Carter Jr., C,Chicago Bulls,5201400
704,Daniel Theis, C,Boston Celtics,5000000
705,Jaxson Hayes, C,New Orleans Pelicans,4862040
706,Frank Ntilikina,PG,New York Knicks,4855800
707,Robin Lopez, C,Milwaukee Bucks,4767000
708,Enes Kanter, C,Boston Celtics,4767000
709,Mike Scott,PF,Philadelphia 76ers,4767000
710,Justin Holiday,SF,Indiana Pacers,4767000
711,JaMychal Green,PF,LA Clippers,4767000
712,Collin Sexton,PG,Cleveland Cavaliers,4764960
713,Kevon Looney, C,Golden State Warriors,4464226
714,Jamal Murray,PG,Denver Nuggets,4444746
715,Luc Mbah a Moute, F,Houston Rockets,4320500
716,Zach Collins,PF,Portland Trail Blazers,4240200
717,Alex Len, C,Sacramento Kings,4160000
718,Cameron Johnson,SF,Phoenix Suns,4033440
719,Patrick McCaw,SF,Toronto Raptors,4000000
720,JaVale McGee, C,Los Angeles Lakers,4000000
721,Shai Gilgeous-Alexander,SG,Oklahoma City Thunder,3952920
722,Luke Kennard,SG,Detroit Pistons,3827160
723,Alexis Ajinca, C,LA Clippers,5285394
724,Dirk Nowitzki, F,Dallas Mavericks,5000000
725,Kyle Singler, F,Oklahoma City Thunder,4996000
726,Buddy Hield,SG,Sacramento Kings,4861208
727,Rodney McGruder,SG,LA Clippers,4807693
728,Richaun Holmes, C,Sacramento Kings,4767000
729,Frank Kaminsky,PF,Phoenix Suns,4767000
730,Ed Davis, C,Utah Jazz,4767000
731,Avery Bradley,PG,Los Angeles Lakers,4767000
732,Garrett Temple,SF,Brooklyn Nets,4767000
733,Rui Hachimura,PF,Washington Wizards,4469160
734,Dennis Smith Jr.,PG,New York Knicks,4463640
735,Kevin Knox II,SF,New York Knicks,4380120
736,Cam Reddish,SF,Atlanta Hawks,4245720
737,Mikal Bridges,SF,Phoenix Suns,4161000
738,Nicolo Melli,PF,New Orleans Pelicans,4102564
739,Malik Monk,SG,Charlotte Hornets,4028400
740,Reggie Bullock,SF,New York Knicks,4000000
741,Dorian Finney-Smith,PF,Dallas Mavericks,4000000
742,P.J. Washington,PF,Charlotte Hornets,3831840
743,Jakob Poeltl, C,San Antonio Spurs,3754886
744,Donovan Mitchell,SG,Utah Jazz,3635760
745,Jake Layman,SF,Minnesota Timberwolves,3581986
746,Jerome Robinson,SG,Washington Wizards,3567720
747,Danuel House Jr.,SF,Houston Rockets,3540000
748,Michael Beasley, F,Brooklyn Nets,3500000
749,T.J. McConnell,PG,Indiana Pacers,3500000
750,Dario Saric,PF,Phoenix Suns,3481986
751,Romeo Langford,SG,Boston Celtics,3458400
752,Michael Porter Jr.,SF,Denver Nuggets,3389400
753,Juancho Hernangomez,PF,Minnesota Timberwolves,3321030
754,Justin Jackson,SF,Dallas Mavericks,3280920
755,Yogi Ferrell, G,Sacramento Kings,3150000
756,Khem Birch, C,Orlando Magic,3000000
757,Ryan Arcidiacono,PG,Chicago Bulls,3000000
758,D.J. Wilson,PF,Milwaukee Bucks,2961120
759,Donte DiVincenzo,SG,Milwaukee Bucks,2905800
760,Goga Bitadze, C,Indiana Pacers,2816760
761,Alex Caruso,SG,Los Angeles Lakers,2750000
762,Luka Samanic,PF,San Antonio Spurs,2689920
763,Miles Bridges,SF,Charlotte Hornets,3755400
764,Tyler Herro,PG,Miami Heat,3640200
765,Stanley Johnson,SF,Toronto Raptors,3623000
766,Thon Maker, F,Detroit Pistons,3569643
767,Allonzo Trier, G,New York Knicks,3551000
768,Domantas Sabonis,PF,Indiana Pacers,3529555
769,DeMarcus Cousins, C,LA Clippers,3500000
770,Boban Marjanovic, C,Dallas Mavericks,3500000
771,Taurean Prince,PF,Brooklyn Nets,3481986
772,Bam Adebayo, C,Miami Heat,3454080
773,Denzel Valentine,SG,Chicago Bulls,3377569
774,Sekou Doumbouya,SF,Detroit Pistons,3285120
775,Troy Brown Jr., F,Washington Wizards,3219480
776,Zhaire Smith, G,Philadelphia 76ers,3058800
777,Quinn Cook,PG,Los Angeles Lakers,3000000
778,Nickeil Alexander-Walker,SG,New Orleans Pelicans,2964840
779,Cedi Osman,SF,Cleveland Cavaliers,2907143
780,Bryn Forbes,SG,San Antonio Spurs,2875000
781,T.J. Leaf, F,Indiana Pacers,2813280
782,Malik Beasley,SG,Minnesota Timberwolves,2731714
783,John Collins,PF,Atlanta Hawks,2686560
784,Caris LeVert,SG,Brooklyn Nets,2625718
785,DeAndre' Bembry,SG,Atlanta Hawks,2603982
786,Harry Giles III,PF,Sacramento Kings,2578800
787,Rajon Rondo,PG,Los Angeles Lakers,2564753
788,Josh Okogie,SF,Minnesota Timberwolves,2530680
789,Manu Ginobili, G,San Antonio Spurs,2500000
790,Brandon Clarke,PF,Memphis Grizzlies,2478840
791,Emeka Okafor, C,Philadelphia 76ers,2445085
792,Grayson Allen,SG,Memphis Grizzlies,2429400
793,Jarrett Allen, C,Brooklyn Nets,2376840
794,Skal Labissiere, F,Portland Trail Blazers,2338847
795,Aaron Holiday,PG,Indiana Pacers,2329200
796,Damian Jones, C,Atlanta Hawks,2305057
797,OG Anunoby,SF,Toronto Raptors,2281800
798,Luke Kornet, C,Chicago Bulls,2250000
799,Ty Jerome,SG,Phoenix Suns,2193480
800,Anfernee Simons,SG,Portland Trail Blazers,2149560
801,Nassir Little,SF,Portland Trail Blazers,2105520
802,Sean Kilpatrick, G,Chicago Bulls,2054856
803,Lonnie Walker IV,SG,San Antonio Spurs,2689920
804,Kevin Huerter,SG,Atlanta Hawks,2636280
805,Marko Guduric, G,Memphis Grizzlies,2625000
806,Matisse Thybulle,SG,Philadelphia 76ers,2582160
807,Wesley Matthews,SG,Milwaukee Bucks,2564753
808,Nene Hilario, C,Atlanta Hawks,2564753
809,Vincent Poirier, C,Boston Celtics,2505793
810,Rondae Hollis-Jefferson, F,Toronto Raptors,2500000
811,Terrance Ferguson,SF,Oklahoma City Thunder,2475840
812,Kendrick Perkins, C,Cleveland Cavaliers,2445085
813,Grant Williams,PF,Boston Celtics,2379840
814,Pascal Siakam,PF,Toronto Raptors,2351839
815,Chandler Hutchison, F,Chicago Bulls,2332320
816,Dejounte Murray,PG,San Antonio Spurs,2321735
817,Darius Bazley,PF,Oklahoma City Thunder,2284800
818,Ante Zizic, C,Cleveland Cavaliers,2281800
819,Brandon Jennings, G,Milwaukee Bucks,2222803
820,Willie Cauley-Stein, C,Dallas Mavericks,2177483
821,Austin Rivers, G,Houston Rockets,2147317
822,Moritz Wagner, C,Washington Wizards,2063520
823,Caleb Swanigan, F,Portland Trail Blazers,2033160
824,Ben McLemore, G,Houston Rockets,2028594
825,Noah Vonleh, F,Denver Nuggets,2000000
826,Landry Shamet,SG,LA Clippers,1995120
827,Kyle Kuzma,SF,Los Angeles Lakers,1974600
828,Tony Bradley, C,Utah Jazz,1962360
829,Derrick White,PG,San Antonio Spurs,1948080
830,Jacob Evans, G,Minnesota Timberwolves,1925880
831,Omari Spellman, F,Golden State Warriors,1897800
832,Shabazz Napier, G,Washington Wizards,1845301
833,DeAndre Liggins, G,Miami Heat,1795015
834,Mario Hezonja, F,Portland Trail Blazers,1737145
835,Pat Connaughton,SG,Milwaukee Bucks,1723050
836,Rodions Kurucs,SF,Brooklyn Nets,1699236
837,Cheick Diallo, F,Phoenix Suns,1678854
838,Willy Hernangomez, C,Charlotte Hornets,1676735
839,MarShon Brooks, G,Chicago Bulls,1656092
840,Georges Niang,SF,Utah Jazz,1645357
841,Treveon Graham, F,Atlanta Hawks,1645357
842,Jordan McRae, G,Detroit Pistons,1645357
843,Dylan Windler,SG,Cleveland Cavaliers,2035800
844,Mike Muscala, C,Oklahoma City Thunder,2028594
845,Torrey Craig,SF,Denver Nuggets,2000000
846,Edmond Sumner,PG,Indiana Pacers,2000000
847,Mfiondu Kabengele, F,LA Clippers,1977000
848,Jordan Poole,SG,Golden State Warriors,1964760
849,Keldon Johnson,SF,San Antonio Spurs,1950600
850,Robert Williams III, C,Boston Celtics,1937520
851,Dzanan Musa, F,Brooklyn Nets,1911600
852,James Ennis III,SF,Orlando Magic,1882867
853,Bruno Caboclo, F,Houston Rockets,1845301
854,Markieff Morris,PF,Los Angeles Lakers,1750000
855,Cameron Payne,PG,Phoenix Suns,1737145
856,Jahlil Okafor, C,New Orleans Pelicans,1702486
857,Jonah Bolden,PF,Phoenix Suns,1698450
858,Dragan Bender, F,Golden State Warriors,1678854
859,Julyan Stone, G,Chicago Bulls,1656092
860,Josh Hart,SG,New Orleans Pelicans,1655160
861,Derrick Jones Jr.,SF,Miami Heat,1645357
862,Christian Wood, C,Detroit Pistons,1645357
863,Isaiah Taylor, G,Toronto Raptors,1620564
864,Emmanuel Mudiay, G,Utah Jazz,1620564
865,Glenn Robinson III, F,Philadelphia 76ers,1620564
866,Kyle O'Quinn, C,Philadelphia 76ers,1620564
867,Michael Carter-Williams,PG,Orlando Magic,1620564
868,Alec Burks,SG,Philadelphia 76ers,1620564
869,Kyle Korver, G,Milwaukee Bucks,1620564
870,Jared Dudley,SF,Los Angeles Lakers,1620564
871,JaKarr Sampson,SF,Indiana Pacers,1620564
872,Ryan Anderson,PF,Houston Rockets,1620564
873,Gerald Green, G,Houston Rockets,1620564
874,Jordan Bell, F,Memphis Grizzlies,1620564
875,Shaquille Harrison, G,Chicago Bulls,1620564
876,J.J. Barea, G,Dallas Mavericks,1620564
877,Isaiah Thomas, G,Washington Wizards,1620564
878,Dillon Brooks,SF,Memphis Grizzlies,1618520
879,Abdel Nader,SF,Oklahoma City Thunder,1618520
880,Sterling Brown,SF,Milwaukee Bucks,1618520
881,Damyean Dotson,SG,New York Knicks,1618520
882,Wes Iwundu,SF,Orlando Magic,1618420
883,Tim Frazier, G,Detroit Pistons,1620564
884,Raul Neto,PG,Philadelphia 76ers,1620564
885,Tyler Lydon, F,Sacramento Kings,1620564
886,Furkan Korkmaz,SG,Philadelphia 76ers,1620564
887,Dwight Howard, C,Los Angeles Lakers,1620564
888,Nerlens Noel, C,Oklahoma City Thunder,1620564
889,Wilson Chandler, F,Brooklyn Nets,1620564
890,Udonis Haslem,PF,Miami Heat,1620564
891,Patrick Patterson,PF,LA Clippers,1620564
892,Justin Patton, C,Oklahoma City Thunder,1620564
893,Thabo Sefolosha, F,Houston Rockets,1620564
894,Tyson Chandler, C,Houston Rockets,1620564
895,Joe Johnson, G,Detroit Pistons,1620564
896,Trey Burke,PG,Dallas Mavericks,1620564
897,Jarell Martin, F,Cleveland Cavaliers,1620564
898,Vince Carter, G,Atlanta Hawks,1620564
899,Royce O'Neale,PF,Utah Jazz,1618520
900,Dwayne Bacon,SG,Charlotte Hornets,1618520
901,Frank Jackson,PG,New Orleans Pelicans,1618520
902,Semi Ojeleye,PF,Boston Celtics,1618520
903,Mitchell Robinson, C,New York Knicks,1599712
904,Malcolm Miller, F,Toronto Raptors,1588231
905,Antonio Blakeney, G,Chicago Bulls,1588231
906,Malachi Richardson, G,Philadelphia 76ers,1569360
907,Chinanu Onuaku, C,Portland Trail Blazers,1544951
908,Isaiah Whitehead, G,Detroit Pistons,1544951
909,Amile Jefferson, F,Orlando Magic,1529007
910,Lorenzo Brown, G,Guangzhou Guangzhou Long-Lions,1512601
911,Dwyane Wade, G,Miami Heat,1512601
912,Isaiah Roby, C,Oklahoma City Thunder,1500000
913,Shake Milton,SG,Philadelphia 76ers,1455697
914,Derrick Walton Jr., G,Detroit Pistons,1445697
915,Thanasis Antetokounmpo,SF,Milwaukee Bucks,1445697
916,Iman Shumpert, G,Brooklyn Nets,1419138
917,De'Anthony Melton,SG,Memphis Grizzlies,1416852
918,Jemerrio Jones, F,Milwaukee Bucks,1416852
919,Svi Mykhailiuk,SG,Detroit Pistons,1416852
920,Keita Bates-Diop,SF,Denver Nuggets,1416852
921,Jevon Carter,PG,Phoenix Suns,1416852
922,Melvin Frazier Jr., G,Orlando Magic,1416852
923,Dwight Buycks, G,Detroit Pistons,1600520
924,Chris Boucher,PF,Toronto Raptors,1588231
925,Monte Morris,PG,Denver Nuggets,1588231
926,Tyrone Wallace,SG,Atlanta Hawks,1588231
927,Georgios Papagiannis, C,Portland Trail Blazers,1544951
928,Wade Baldwin IV, G,Indiana Pacers,1544951
929,Paul Zipser, F,Chicago Bulls,1544951
930,Omri Casspi, F,Memphis Grizzlies,1512601
931,Isaiah Canaan, G,Milwaukee Bucks,1512601
932,Nigel Williams-Goss, G,Utah Jazz,1500000
933,Alfonzo McKinnie,SF,Cleveland Cavaliers,1500000
934,Brad Wanamaker,PG,Boston Celtics,1445697
935,Theo Pinson,SG,Brooklyn Nets,1445697
936,Wenyen Gabriel,PF,Portland Trail Blazers,1445697
937,Devonte' Graham,PG,Charlotte Hornets,1416852
938,Gary Trent Jr.,SG,Portland Trail Blazers,1416852
939,Kenrich Williams,SF,New Orleans Pelicans,1416852
940,Deonte Burton, G,Oklahoma City Thunder,1416852
941,Chimezie Metu,PF,San Antonio Spurs,1416852
942,Ryan Broekhoff, G,Dallas Mavericks,1416852
943,Alize Johnson,PF,Indiana Pacers,1416852
944,Jarred Vanderbilt,PF,Minnesota Timberwolves,1416852
945,Kendrick Nunn,SG,Miami Heat,1416852
946,Hamidou Diallo,SG,Oklahoma City Thunder,1416852
947,Isaiah Hartenstein, C,Houston Rockets,1416852
948,Yante Maten, F,Boston Celtics,1416852
949,Tarik Phillip, G,Washington Wizards,1416842
950,Bruno Fernando,PF,Atlanta Hawks,1400000
951,Kyle Collinsworth, G,Utah Jazz,1378242
952,Jaylen Morris, G,Milwaukee Bucks,1378242
953,David Stockton, G,Los Angeles Lakers,1378242
954,Aaron Jackson, F,Houston Rockets,1378242
955,Carmelo Anthony,PF,Portland Trail Blazers,1364204
956,Ben Moore, F,San Antonio Spurs,1349383
957,Kevin Porter Jr.,SG,Cleveland Cavaliers,1290960
958,Okaro White, F,Washington Wizards,1187862
959,Gary Payton II, F,Washington Wizards,1052909
960,Admiral Schofield, F,Washington Wizards,1000000
961,Ron Baker, G,Washington Wizards,948580
962,Jalen McDaniels,PF,Charlotte Hornets,898310
963,Elie Okobo, G,Phoenix Suns,1416852
964,Bruce Brown,SF,Detroit Pistons,1416852
965,Duncan Robinson,SG,Miami Heat,1416852
966,Khyri Thomas, F,Detroit Pistons,1416852
967,Jalen Brunson,PG,Dallas Mavericks,1416852
968,Dairis Bertans, G,New Orleans Pelicans,1416852
969,Isaac Bonga, G,Washington Wizards,1416842
970,Jaylen Nowell,SG,Minnesota Timberwolves,1400000
971,Dakari Johnson, C,Memphis Grizzlies,1378242
972,Brandon Paul, G,San Antonio Spurs,1378242
973,Rodney Purvis, G,Miami Heat,1378242
974,Zhou Qi, C,Houston Rockets,1378242
975,Ike Anigbogu, C,New Orleans Pelicans,1378242
976,Jabari Bird, G,Atlanta Hawks,1349464
977,James Nunnally, F,New Orleans Pelicans,1349383
978,Carsen Edwards,PG,Boston Celtics,1228026
979,Cody Martin,SF,Charlotte Hornets,1173310
980,Nick Young, G,Denver Nuggets,1042584
981,Terance Mann,SG,LA Clippers,1000000
982,David Nwaba,SF,Brooklyn Nets,903111
983,Dewan Hernandez, F,Toronto Raptors,898310
984,Miye Oni,SG,Utah Jazz,898310
985,Stanton Kidd,SF,Utah Jazz,898310
986,Terence Davis, G,Toronto Raptors,898310
987,Ignas Brazdeikis, F,New York Knicks,898310
988,Naz Reid, C,Minnesota Timberwolves,898310
989,Max Strus,SG,Chicago Bulls,898310
990,Jalen Lecque,PG,Phoenix Suns,898310
991,Eric Paschall,PF,Golden State Warriors,898310
992,Javonte Green, G,Boston Celtics,898310
993,Isaiah Briscoe, G,Orlando Magic,838464
994,Marquese Chriss,SF,Golden State Warriors,654469
995,Marvin Williams, F,Milwaukee Bucks,604278
996,Rayjon Tucker,SG,Utah Jazz,578573
997,Gary Clark,SF,Orlando Magic,555409
998,Reggie Jackson,PG,LA Clippers,512721
999,Anzejs Pasecniks, C,Washington Wizards,482144
1000,Jeff Green,PF,Houston Rockets,439475
1001,Dion Waiters, G,Los Angeles Lakers,375385
1002,Ky Bowman, G,Golden State Warriors,350189
1003,Caleb Martin,SF,Charlotte Hornets,898310
1004,Daniel Gafford, C,Chicago Bulls,898310
1005,Matt Thomas,SG,Toronto Raptors,898310
1006,Justin Robinson, G,Washington Wizards,898310
1007,Justin James,SG,Sacramento Kings,898310
1008,Nicolas Claxton,PF,Brooklyn Nets,898310
1009,KZ Okpala,SF,Miami Heat,898310
1010,Talen Horton-Tucker,SG,Los Angeles Lakers,898310
1011,Alen Smailagic,PF,Golden State Warriors,898310
1012,Vlatko Cancar,SF,Denver Nuggets,898310
1013,Damion Lee,SG,Golden State Warriors,842327
1014,Juwan Morgan,SF,Utah Jazz,746054
1015,Timothe Luwawu-Cabarrot,SG,Brooklyn Nets,654469
1016,Michael Kidd-Gilchrist, F,Dallas Mavericks,595122
1017,Chris Clemons, G,Houston Rockets,563347
1018,Brandon Goodwin,PG,Atlanta Hawks,522738
1019,DeMarre Carroll, F,Houston Rockets,512721
1020,Chris Silva,PF,Miami Heat,466918
1021,Troy Daniels, G,Denver Nuggets,384541
1022,Norvel Pelle,PF,Philadelphia 76ers,350189
1023,JR Smith, G,Los Angeles Lakers,289803
1024,Jimmer Fredette, G,Phoenix Suns,208509
1025,Anthony Tolliver, F,Memphis Grizzlies,183115
1026,Luguentz Dort,SF,Oklahoma City Thunder,155647
1027,Juan Toscano-Anderson,SF,Golden State Warriors,350189
1028,Tyler Zeller, C,San Antonio Spurs,245686
1029,Jontay Porter,PF,Memphis Grizzlies,197933
1030,Tyler Johnson,SG,Brooklyn Nets,183115
1031,Russell Westbrook,PG,Washington Wizards,41358814
1032,James Harden,SG,Brooklyn Nets,41254920
1033,Kevin Durant,PF,Brooklyn Nets,40108950
1034,Paul George,SG,LA Clippers,35450412
1035,Mike Conley,PG,Utah Jazz,34502130
1036,Jimmy Butler,SF,Miami Heat,34379100
1037,Tobias Harris,PF,Philadelphia 76ers,34358850
1038,Anthony Davis,PF,Los Angeles Lakers,32742000
1039,Damian Lillard,PG,Portland Trail Blazers,31626953
