,Name,Position,Team,Salary
119,Robert Covington,PF,Minnesota Timberwolves,10464092
120,Danny Green,SF,Toronto Raptors,10000000
121,Darren Collison, G,Indiana Pacers,10000000
122,Matthew Dellavedova,PG,Cleveland Cavaliers,9607500
123,Jared Dudley,SF,Brooklyn Nets,9530000
124,Josh Richardson,SG,Miami Heat,9367200
125,Bogdan Bogdanovic,SG,Sacramento Kings,9000000
126,Cristiano Felicio,PF,Chicago Bulls,8740980
127,Fred VanVleet,SG,Toronto Raptors,8653847
128,Kyle Anderson,SF,Memphis Grizzlies,8641000
129,Jerryd Bayless, G,Minnesota Timberwolves,8575916
130,C.J. Miles,SG,Memphis Grizzlies,8333333
131,Shaun Livingston, G,Golden State Warriors,8307692
132,Garrett Temple,SF,LA Clippers,8000000
133,P.J. Tucker,PF,Houston Rockets,7969537
134,Karl-Anthony Towns, C,Minnesota Timberwolves,7839435
135,Kyle Korver, G,Utah Jazz,7560000
136,Darrell Arthur, F,Phoenix Suns,7464912
137,Doug McDermott,SF,Indiana Pacers,7333333
138,Marvin Bagley III,PF,Sacramento Kings,7305600
139,Dewayne Dedmon, C,Atlanta Hawks,7200000
140,Jon Leuer, F,Detroit Pistons,10002681
141,Andre Roberson, F,Brooklyn Nets,10000000
142,Dwight Powell, C,Dallas Mavericks,9631250
143,Dante Exum,PG,Utah Jazz,9600000
144,Norman Powell,SF,Toronto Raptors,9367200
145,Rajon Rondo,PG,Los Angeles Lakers,9000000
146,E'Twaun Moore,SG,New Orleans Pelicans,8808685
147,Kosta Koufos, C,Sacramento Kings,8739500
148,Jerami Grant,SF,Oklahoma City Thunder,8653847
149,Julius Randle,PF,New Orleans Pelicans,8641000
150,Markelle Fultz,PG,Philadelphia 76ers,8339880
151,Joe Harris,SF,Brooklyn Nets,8333333
152,Deandre Ayton, C,Phoenix Suns,8165160
153,Lou Williams,SG,LA Clippers,8000000
154,Cory Joseph,PG,Indiana Pacers,7945000
155,JaMychal Green,PF,LA Clippers,7666667
156,Jeremy Lamb,SG,Charlotte Hornets,7488372
157,Lonzo Ball,PG,Los Angeles Lakers,7461960
158,Jae Crowder,PF,Utah Jazz,7305825
159,D.J. Augustin,PG,Orlando Magic,7250000
160,D'Angelo Russell,PG,Brooklyn Nets,7019698
161,Ersan Ilyasova,PF,Milwaukee Bucks,7000000
162,Boban Marjanovic, C,Philadelphia 76ers,7000000
163,Jayson Tatum,SF,Boston Celtics,6700800
164,Mario Hezonja, F,New York Knicks,6500000
165,Ben Simmons,PG,Philadelphia 76ers,6434520
166,Marco Belinelli, G,San Antonio Spurs,6153846
167,Josh Jackson,SG,Phoenix Suns,6041520
168,Ish Smith,PG,Detroit Pistons,6000000
169,Jaren Jackson Jr.,PF,Memphis Grizzlies,5915040
170,Kristaps Porzingis, C,Dallas Mavericks,5697054
171,Ben McLemore, G,Sacramento Kings,5460000
172,Patrick Patterson,PF,Oklahoma City Thunder,5451600
173,Marcus Morris Sr.,SF,Boston Celtics,5375000
174,Dwight Howard, C,Washington Wizards,5337000
175,Alexis Ajinca, C,LA Clippers,5285394
176,Aron Baynes, C,Boston Celtics,5193600
177,Patrick Beverley,PG,LA Clippers,5027028
178,Mike Muscala, C,Los Angeles Lakers,5000000
179,Dirk Nowitzki, F,Dallas Mavericks,5000000
180,Lance Thomas, F,New York Knicks,7119650
181,Davis Bertans,SF,San Antonio Spurs,7000000
182,Langston Galloway,SG,Detroit Pistons,7000000
183,Al-Farouq Aminu,PF,Portland Trail Blazers,6957105
184,Luka Doncic,PG,Dallas Mavericks,6560640
185,Nemanja Bjelica, F,Sacramento Kings,6500000
186,Milos Teodosic, G,LA Clippers,6300000
187,Wesley Johnson, F,Washington Wizards,6134520
188,Jonathon Simmons, G,Philadelphia 76ers,6000000
189,Montrezl Harrell, C,LA Clippers,6000000
190,Brandon Ingram,SF,Los Angeles Lakers,5757120
191,De'Aaron Fox,PG,Sacramento Kings,5470920
192,Alex Abrines, G,Oklahoma City Thunder,5455236
193,Jason Smith, F,New Orleans Pelicans,5450000
194,Trae Young,PG,Atlanta Hawks,5356440
195,DeMarcus Cousins, C,Golden State Warriors,5337000
196,Thabo Sefolosha, F,Utah Jazz,5250000
197,Jaylen Brown,SG,Boston Celtics,5169960
198,Tony Parker, G,Charlotte Hornets,5000000
199,Alan Williams, C,Brooklyn Nets,5000000
200,Jonathan Isaac,PF,Orlando Magic,4969080
201,Anthony Tolliver, F,Minnesota Timberwolves,4750000
202,Dragan Bender, F,Phoenix Suns,4661280
203,Kyle O'Quinn, C,Indiana Pacers,4449000
204,Lance Stephenson, G,Los Angeles Lakers,4449000
205,Justin Holiday,SF,Memphis Grizzlies,4384616
206,Mike Scott,PF,Philadelphia 76ers,4320500
207,Emmanuel Mudiay, G,New York Knicks,4294480
208,Frank Ntilikina,PG,New York Knicks,4155720
209,Collin Sexton,PG,Cleveland Cavaliers,4068600
210,Buddy Hield,SG,Sacramento Kings,3844760
211,Kevin Knox II,SF,New York Knicks,3739920
212,Nene Hilario, C,Houston Rockets,3651480
213,Frank Kaminsky,PF,Charlotte Hornets,3627842
